assessmentScore,assignmentId,courseId,createdAt,id,isAvailable,isLate,moduleId,status,studentId,submissionDate,timeSpentMinutes,updatedAt
67.8,ASG609707,CRS831057,2025-09-24T16:49:39.736716,sa_54455bea,,False,MOD913915,completed,925707456,2024-09-14T00:00:00,60,2025-09-24T16:49:39.736716
71.0,ASG251765,CRS831057,2025-09-24T16:49:39.736716,sa_6c72574e,,False,MOD415464,completed,925707456,2024-09-22T00:00:00,74,2025-09-24T16:49:39.736716
57.9,ASG220478,CRS831057,2025-09-24T16:49:39.736716,sa_0e7b216e,,True,MOD772650,completed,925707456,2024-10-01T00:00:00,469,2025-09-24T16:49:39.736716
68.5,ASG746675,CRS831057,2025-09-24T16:49:39.736716,sa_510d1745,,False,MOD772650,completed,925707456,2024-09-28T00:00:00,52,2025-09-24T16:49:39.736716
74.0,ASG924252,CRS831057,2025-09-24T16:49:39.736716,sa_0b53e793,,False,MOD627975,completed,925707456,2024-10-10T00:00:00,43,2025-09-24T16:49:39.736716
64.4,ASG984246,CRS831057,2025-09-24T16:49:39.736716,sa_62a0ccdb,,False,MOD627975,completed,925707456,2024-10-09T00:00:00,191,2025-09-24T16:49:39.736716
71.5,ASG221221,CRS831057,2025-09-24T16:49:39.736716,sa_b16779d9,,False,MOD824980,completed,925707456,2024-10-18T00:00:00,37,2025-09-24T16:49:39.736716
61.6,ASG482072,CRS831057,2025-09-24T16:49:39.736716,sa_f0284aa0,,False,MOD214559,completed,925707456,2024-10-25T00:00:00,114,2025-09-24T16:49:39.736716
64.6,ASG004712,CRS831057,2025-09-24T16:49:39.736716,sa_4dfdce9d,,False,MOD214559,completed,925707456,2024-10-26T00:00:00,189,2025-09-24T16:49:39.736716
63.1,ASG273906,CRS583398,2025-09-24T16:49:39.736716,sa_04500eb4,,False,MOD892680,completed,925707456,2024-09-15T00:00:00,52,2025-09-24T16:49:39.736716
72.1,ASG864612,CRS583398,2025-09-24T16:49:39.736716,sa_e99b56e6,,False,MOD646818,completed,925707456,2024-09-22T00:00:00,544,2025-09-24T16:49:39.736716
70.9,ASG484417,CRS583398,2025-09-24T16:49:39.736716,sa_d67e9f87,,False,MOD780422,completed,925707456,2024-09-30T00:00:00,139,2025-09-24T16:49:39.736716
69.1,ASG338808,CRS583398,2025-09-24T16:49:39.736716,sa_bc0822e8,,False,MOD780422,completed,925707456,2024-10-02T00:00:00,143,2025-09-24T16:49:39.736716
69.8,ASG798030,CRS583398,2025-09-24T16:49:39.737721,sa_659a6c1a,,False,MOD217930,completed,925707456,2024-10-12T00:00:00,160,2025-09-24T16:49:39.737721
70.1,ASG590848,CRS583398,2025-09-24T16:49:39.737721,sa_f8c347c2,,False,MOD217930,completed,925707456,2024-10-10T00:00:00,145,2025-09-24T16:49:39.737721
81.3,ASG622917,CRS583398,2025-09-24T16:49:39.737721,sa_19c86edf,,False,MOD399152,completed,925707456,2024-10-14T00:00:00,113,2025-09-24T16:49:39.737721
62.8,ASG168689,CRS583398,2025-09-24T16:49:39.737721,sa_0ae7e13d,,False,MOD647562,completed,925707456,2024-10-20T00:00:00,108,2025-09-24T16:49:39.737721
79.7,ASG716661,CRS583398,2025-09-24T16:49:39.737721,sa_cdbf31c4,,False,MOD647562,completed,925707456,2024-10-26T00:00:00,90,2025-09-24T16:49:39.737721
53.1,ASG525213,CRS430230,2025-09-24T16:49:39.737721,sa_b8ad3b6a,,False,MOD517327,completed,585222042,2024-09-01T00:00:00,346,2025-09-24T16:49:39.737721
52.7,ASG244784,CRS430230,2025-09-24T16:49:39.737721,sa_51657bc9,,True,MOD517327,completed,585222042,2024-09-05T00:00:00,187,2025-09-24T16:49:39.737721
67.4,ASG400832,CRS430230,2025-09-24T16:49:39.737721,sa_4d3046f0,,False,MOD543024,completed,585222042,2024-09-19T00:00:00,150,2025-09-24T16:49:39.737721
59.5,ASG611689,CRS430230,2025-09-24T16:49:39.737721,sa_1e042556,,False,MOD986258,completed,585222042,2024-10-09T00:00:00,377,2025-09-24T16:49:39.737721
60.6,ASG447003,CRS430230,2025-09-24T16:49:39.737721,sa_41679ca3,,False,MOD986258,completed,585222042,2024-10-16T00:00:00,104,2025-09-24T16:49:39.737721
63.9,ASG273906,CRS583398,2025-09-24T16:49:39.737721,sa_b4c728d3,,True,MOD892680,completed,585222042,2024-09-14T00:00:00,51,2025-09-24T16:49:39.737721
67.2,ASG843006,CRS583398,2025-09-24T16:49:39.737721,sa_5ad9abad,,True,MOD892680,completed,585222042,2024-09-15T00:00:00,81,2025-09-24T16:49:39.737721
65.9,ASG484417,CRS583398,2025-09-24T16:49:39.737721,sa_a959f4e3,,False,MOD780422,completed,585222042,2024-10-02T00:00:00,67,2025-09-24T16:49:39.737721
56.7,ASG338808,CRS583398,2025-09-24T16:49:39.737721,sa_540e4fd1,,False,MOD780422,completed,585222042,2024-10-03T00:00:00,147,2025-09-24T16:49:39.737721
58.9,ASG590848,CRS583398,2025-09-24T16:49:39.737721,sa_9487b534,,False,MOD217930,completed,585222042,2024-10-10T00:00:00,188,2025-09-24T16:49:39.737721
61.9,ASG622917,CRS583398,2025-09-24T16:49:39.737721,sa_02a47476,,True,MOD399152,completed,585222042,2024-10-24T00:00:00,77,2025-09-24T16:49:39.737721
54.4,ASG716661,CRS583398,2025-09-24T16:49:39.737721,sa_4d95518a,,False,MOD647562,completed,585222042,2024-10-29T00:00:00,117,2025-09-24T16:49:39.737721
54.0,ASG057014,CRS261592,2025-09-24T16:49:39.737721,sa_4cd838c8,,False,MOD985400,completed,585222042,2024-09-24T00:00:00,86,2025-09-24T16:49:39.737721
67.7,ASG852721,CRS261592,2025-09-24T16:49:39.737721,sa_87ead004,,False,MOD985400,completed,585222042,2024-09-21T00:00:00,43,2025-09-24T16:49:39.737721
58.3,ASG313401,CRS261592,2025-09-24T16:49:39.738750,sa_63b1f5e2,,False,MOD633349,completed,585222042,2024-10-09T00:00:00,361,2025-09-24T16:49:39.738750
68.3,ASG410436,CRS261592,2025-09-24T16:49:39.738750,sa_89131616,,False,MOD633349,completed,585222042,2024-10-12T00:00:00,131,2025-09-24T16:49:39.738750
66.9,ASG268002,CRS261592,2025-09-24T16:49:39.738750,sa_f3405bd2,,False,MOD444415,completed,585222042,2024-10-26T00:00:00,132,2025-09-24T16:49:39.738750
57.9,ASG251765,CRS831057,2025-09-24T16:49:39.738750,sa_39e9a976,,False,MOD415464,completed,585222042,2024-09-24T00:00:00,130,2025-09-24T16:49:39.738750
62.0,ASG746675,CRS831057,2025-09-24T16:49:39.738750,sa_93f7ffed,,False,MOD772650,completed,585222042,2024-10-03T00:00:00,60,2025-09-24T16:49:39.738750
64.3,ASG924252,CRS831057,2025-09-24T16:49:39.738750,sa_9ef8e6b2,,False,MOD627975,completed,585222042,2024-10-10T00:00:00,48,2025-09-24T16:49:39.738750
60.7,ASG984246,CRS831057,2025-09-24T16:49:39.738750,sa_9a32a61a,,False,MOD627975,completed,585222042,2024-10-09T00:00:00,129,2025-09-24T16:49:39.738750
62.8,ASG299100,CRS831057,2025-09-24T16:49:39.738750,sa_52cf40ec,,False,MOD824980,completed,585222042,2024-10-19T00:00:00,140,2025-09-24T16:49:39.738750
69.5,ASG221221,CRS831057,2025-09-24T16:49:39.738750,sa_22410cac,,False,MOD824980,completed,585222042,2024-10-19T00:00:00,55,2025-09-24T16:49:39.738750
53.9,ASG482072,CRS831057,2025-09-24T16:49:39.738750,sa_e95aa8d5,,False,MOD214559,completed,585222042,2024-10-26T00:00:00,174,2025-09-24T16:49:39.738750
80.1,ASG525213,CRS430230,2025-09-24T16:49:39.738750,sa_732fde20,,False,MOD517327,completed,657051563,2024-09-05T00:00:00,603,2025-09-24T16:49:39.738750
71.9,ASG244784,CRS430230,2025-09-24T16:49:39.738750,sa_dd2e45af,,False,MOD517327,completed,657051563,2024-09-06T00:00:00,170,2025-09-24T16:49:39.738750
90.6,ASG400832,CRS430230,2025-09-24T16:49:39.738750,sa_86fc44fb,,False,MOD543024,completed,657051563,2024-09-15T00:00:00,144,2025-09-24T16:49:39.738750
81.2,ASG644774,CRS430230,2025-09-24T16:49:39.738750,sa_c2673206,,False,MOD006571,completed,657051563,2024-09-30T00:00:00,139,2025-09-24T16:49:39.738750
73.3,ASG770482,CRS430230,2025-09-24T16:49:39.738750,sa_3c29cfae,,False,MOD006571,completed,657051563,2024-09-25T00:00:00,182,2025-09-24T16:49:39.738750
87.5,ASG938132,CRS430230,2025-09-24T16:49:39.738750,sa_fbc595fa,,False,MOD345410,completed,657051563,2024-10-06T00:00:00,382,2025-09-24T16:49:39.738750
87.7,ASG611689,CRS430230,2025-09-24T16:49:39.738750,sa_a26ab052,,False,MOD986258,completed,657051563,2024-10-12T00:00:00,458,2025-09-24T16:49:39.738750
79.4,ASG447003,CRS430230,2025-09-24T16:49:39.739330,sa_429372be,,False,MOD986258,completed,657051563,2024-10-12T00:00:00,127,2025-09-24T16:49:39.739330
89.4,ASG382587,CRS430230,2025-09-24T16:49:39.739330,sa_84e8c3f4,,False,MOD909075,completed,657051563,2024-10-28T00:00:00,169,2025-09-24T16:49:39.739330
64.9,ASG399228,CRS430230,2025-09-24T16:49:39.739330,sa_50a76a4a,,True,MOD909075,completed,657051563,2024-10-27T00:00:00,172,2025-09-24T16:49:39.739330
82.8,ASG486881,CRS430230,2025-09-24T16:49:39.739386,sa_819d086a,,False,MOD700031,completed,657051563,2024-11-09T00:00:00,79,2025-09-24T16:49:39.739386
100,ASG273906,CRS583398,2025-09-24T16:49:39.739386,sa_d9e08ee2,,False,MOD892680,completed,657051563,2024-09-14T00:00:00,37,2025-09-24T16:49:39.739386
100,ASG843006,CRS583398,2025-09-24T16:49:39.739651,sa_db8168b9,,False,MOD892680,completed,657051563,2024-09-14T00:00:00,145,2025-09-24T16:49:39.739651
100,ASG864612,CRS583398,2025-09-24T16:49:39.739651,sa_048d0954,,False,MOD646818,completed,657051563,2024-09-21T00:00:00,549,2025-09-24T16:49:39.739651
100,ASG484417,CRS583398,2025-09-24T16:49:39.739651,sa_8a140f4a,,False,MOD780422,completed,657051563,2024-09-28T00:00:00,137,2025-09-24T16:49:39.739651
100,ASG338808,CRS583398,2025-09-24T16:49:39.739651,sa_4017e5c5,,False,MOD780422,completed,657051563,2024-09-29T00:00:00,121,2025-09-24T16:49:39.739651
100,ASG798030,CRS583398,2025-09-24T16:49:39.739651,sa_101bb17e,,False,MOD217930,completed,657051563,2024-10-07T00:00:00,155,2025-09-24T16:49:39.739651
100,ASG590848,CRS583398,2025-09-24T16:49:39.739651,sa_63efa2de,,False,MOD217930,completed,657051563,2024-10-11T00:00:00,197,2025-09-24T16:49:39.739651
100,ASG622917,CRS583398,2025-09-24T16:49:39.739651,sa_90f46902,,False,MOD399152,completed,657051563,2024-10-20T00:00:00,114,2025-09-24T16:49:39.739651
100,ASG168689,CRS583398,2025-09-24T16:49:39.739651,sa_6f0e46dd,,False,MOD647562,completed,657051563,2024-10-23T00:00:00,106,2025-09-24T16:49:39.739651
100,ASG716661,CRS583398,2025-09-24T16:49:39.739651,sa_4e1c7775,,False,MOD647562,completed,657051563,2024-10-22T00:00:00,115,2025-09-24T16:49:39.739651
100,ASG800475,CRS583398,2025-09-24T16:49:39.739651,sa_f9382aeb,,False,MOD624828,completed,657051563,2024-10-30T00:00:00,158,2025-09-24T16:49:39.739651
79.3,ASG727651,CRS831057,2025-09-24T16:49:39.739915,sa_2a9c04d3,,False,MOD559644,completed,657051563,2024-09-07T00:00:00,81,2025-09-24T16:49:39.739915
78.0,ASG176760,CRS831057,2025-09-24T16:49:39.739915,sa_7f8f9b2e,,False,MOD913915,completed,657051563,2024-09-13T00:00:00,34,2025-09-24T16:49:39.739915
82.7,ASG609707,CRS831057,2025-09-24T16:49:39.739915,sa_c537aec1,,False,MOD913915,completed,657051563,2024-09-14T00:00:00,61,2025-09-24T16:49:39.739915
71.0,ASG251765,CRS831057,2025-09-24T16:49:39.739915,sa_5862ed0c,,False,MOD415464,completed,657051563,2024-09-24T00:00:00,100,2025-09-24T16:49:39.739915
92.4,ASG220478,CRS831057,2025-09-24T16:49:39.739915,sa_70804e50,,False,MOD772650,completed,657051563,2024-10-01T00:00:00,445,2025-09-24T16:49:39.739915
91.2,ASG746675,CRS831057,2025-09-24T16:49:39.739915,sa_3235f7c3,,False,MOD772650,completed,657051563,2024-10-04T00:00:00,47,2025-09-24T16:49:39.739915
90.8,ASG924252,CRS831057,2025-09-24T16:49:39.739915,sa_4a8c5e52,,False,MOD627975,completed,657051563,2024-10-09T00:00:00,41,2025-09-24T16:49:39.739915
91.3,ASG984246,CRS831057,2025-09-24T16:49:39.739915,sa_4655efb3,,False,MOD627975,completed,657051563,2024-10-12T00:00:00,188,2025-09-24T16:49:39.739915
77.7,ASG299100,CRS831057,2025-09-24T16:49:39.739915,sa_8e1c6f9c,,False,MOD824980,completed,657051563,2024-10-16T00:00:00,126,2025-09-24T16:49:39.739915
75.5,ASG221221,CRS831057,2025-09-24T16:49:39.739915,sa_b5ac5bd2,,False,MOD824980,completed,657051563,2024-10-19T00:00:00,48,2025-09-24T16:49:39.739915
91.2,ASG482072,CRS831057,2025-09-24T16:49:39.739915,sa_6deaba0a,,False,MOD214559,completed,657051563,2024-10-26T00:00:00,160,2025-09-24T16:49:39.739915
71.5,ASG004712,CRS831057,2025-09-24T16:49:39.739915,sa_f8d8d5c1,,False,MOD214559,completed,657051563,2024-10-27T00:00:00,150,2025-09-24T16:49:39.739915
70.4,ASG644774,CRS430230,2025-09-24T16:49:39.739915,sa_9cc6a844,,False,MOD006571,completed,196116423,2024-09-29T00:00:00,167,2025-09-24T16:49:39.739915
66.3,ASG770482,CRS430230,2025-09-24T16:49:39.739915,sa_3579119b,,False,MOD006571,completed,196116423,2024-09-26T00:00:00,120,2025-09-24T16:49:39.739915
74.6,ASG938132,CRS430230,2025-09-24T16:49:39.739915,sa_88f01fe3,,False,MOD345410,completed,196116423,2024-10-05T00:00:00,534,2025-09-24T16:49:39.739915
71.9,ASG611689,CRS430230,2025-09-24T16:49:39.739915,sa_73296da2,,False,MOD986258,completed,196116423,2024-10-16T00:00:00,323,2025-09-24T16:49:39.739915
59.3,ASG447003,CRS430230,2025-09-24T16:49:39.739915,sa_b492bc4a,,True,MOD986258,completed,196116423,2024-10-15T00:00:00,112,2025-09-24T16:49:39.739915
56.1,ASG382587,CRS430230,2025-09-24T16:49:39.739915,sa_e31bca49,,True,MOD909075,completed,196116423,2024-10-24T00:00:00,133,2025-09-24T16:49:39.739915
61.6,ASG399228,CRS430230,2025-09-24T16:49:39.739915,sa_611157da,,False,MOD909075,completed,196116423,2024-10-23T00:00:00,199,2025-09-24T16:49:39.739915
70.4,ASG112449,CRS261592,2025-09-24T16:49:39.739915,sa_aa2abb01,,False,MOD360213,completed,196116423,2024-09-11T00:00:00,535,2025-09-24T16:49:39.739915
80.4,ASG057014,CRS261592,2025-09-24T16:49:39.739915,sa_a33195fa,,False,MOD985400,completed,196116423,2024-09-24T00:00:00,96,2025-09-24T16:49:39.739915
77.4,ASG852721,CRS261592,2025-09-24T16:49:39.739915,sa_8cef6ced,,False,MOD985400,completed,196116423,2024-09-21T00:00:00,54,2025-09-24T16:49:39.739915
53.9,ASG148982,CRS261592,2025-09-24T16:49:39.739915,sa_45d97469,,True,MOD588503,completed,196116423,2024-09-28T00:00:00,104,2025-09-24T16:49:39.739915
73.4,ASG175536,CRS261592,2025-09-24T16:49:39.739915,sa_7c384be7,,False,MOD588503,completed,196116423,2024-10-02T00:00:00,110,2025-09-24T16:49:39.739915
76.0,ASG313401,CRS261592,2025-09-24T16:49:39.739915,sa_69be7c2f,,False,MOD633349,completed,196116423,2024-10-09T00:00:00,597,2025-09-24T16:49:39.739915
55.7,ASG410436,CRS261592,2025-09-24T16:49:39.739915,sa_838eb35c,,True,MOD633349,completed,196116423,2024-10-07T00:00:00,156,2025-09-24T16:49:39.739915
80.8,ASG098251,CRS261592,2025-09-24T16:49:39.739915,sa_e3c77a8e,,False,MOD426317,completed,196116423,2024-10-19T00:00:00,188,2025-09-24T16:49:39.739915
63.0,ASG268002,CRS261592,2025-09-24T16:49:39.739915,sa_1677a6bb,,False,MOD444415,completed,196116423,2024-10-25T00:00:00,126,2025-09-24T16:49:39.739915
62.1,ASG176760,CRS831057,2025-09-24T16:49:39.739915,sa_81689dd3,,False,MOD913915,completed,196116423,2024-09-14T00:00:00,62,2025-09-24T16:49:39.739915
78.3,ASG220478,CRS831057,2025-09-24T16:49:39.739915,sa_42ccf566,,False,MOD772650,completed,196116423,2024-10-03T00:00:00,382,2025-09-24T16:49:39.739915
75.5,ASG746675,CRS831057,2025-09-24T16:49:39.740966,sa_39dea83e,,False,MOD772650,completed,196116423,2024-09-29T00:00:00,39,2025-09-24T16:49:39.740966
56.6,ASG924252,CRS831057,2025-09-24T16:49:39.740966,sa_8e423dca,,True,MOD627975,completed,196116423,2024-10-09T00:00:00,55,2025-09-24T16:49:39.740966
76.5,ASG984246,CRS831057,2025-09-24T16:49:39.740966,sa_0c0ab4f9,,False,MOD627975,completed,196116423,2024-10-13T00:00:00,134,2025-09-24T16:49:39.740966
69.2,ASG299100,CRS831057,2025-09-24T16:49:39.740966,sa_a52a8d07,,False,MOD824980,completed,196116423,2024-10-18T00:00:00,118,2025-09-24T16:49:39.740966
69.0,ASG221221,CRS831057,2025-09-24T16:49:39.740966,sa_5fa6140d,,True,MOD824980,completed,196116423,2024-10-17T00:00:00,51,2025-09-24T16:49:39.740966
91.3,ASG273906,CRS583398,2025-09-24T16:49:39.740966,sa_3cb06441,,False,MOD892680,completed,196116423,2024-09-14T00:00:00,42,2025-09-24T16:49:39.740966
72.6,ASG843006,CRS583398,2025-09-24T16:49:39.740966,sa_b2e8ce91,,False,MOD892680,completed,196116423,2024-09-14T00:00:00,90,2025-09-24T16:49:39.740966
84.5,ASG864612,CRS583398,2025-09-24T16:49:39.740966,sa_89304212,,True,MOD646818,completed,196116423,2024-09-22T00:00:00,539,2025-09-24T16:49:39.740966
79.3,ASG484417,CRS583398,2025-09-24T16:49:39.740966,sa_67176e5f,,True,MOD780422,completed,196116423,2024-10-06T00:00:00,126,2025-09-24T16:49:39.740966
77.6,ASG338808,CRS583398,2025-09-24T16:49:39.740966,sa_43393daf,,False,MOD780422,completed,196116423,2024-10-01T00:00:00,126,2025-09-24T16:49:39.740966
83.7,ASG590848,CRS583398,2025-09-24T16:49:39.740966,sa_23c0e8c4,,False,MOD217930,completed,196116423,2024-10-09T00:00:00,116,2025-09-24T16:49:39.740966
64.7,ASG622917,CRS583398,2025-09-24T16:49:39.740966,sa_c7dc18ba,,True,MOD399152,completed,196116423,2024-10-15T00:00:00,149,2025-09-24T16:49:39.740966
81.0,ASG168689,CRS583398,2025-09-24T16:49:39.740966,sa_184a33d3,,False,MOD647562,completed,196116423,2024-10-28T00:00:00,127,2025-09-24T16:49:39.740966
71.2,ASG525213,CRS430230,2025-09-24T16:49:39.740966,sa_9c4f9d12,,False,MOD517327,completed,952572162,2024-09-07T00:00:00,531,2025-09-24T16:49:39.740966
69.0,ASG244784,CRS430230,2025-09-24T16:49:39.740966,sa_2b5ad9ac,,False,MOD517327,completed,952572162,2024-09-07T00:00:00,137,2025-09-24T16:49:39.740966
78.5,ASG400832,CRS430230,2025-09-24T16:49:39.740966,sa_4412ad78,,True,MOD543024,completed,952572162,2024-09-19T00:00:00,134,2025-09-24T16:49:39.740966
92.8,ASG644774,CRS430230,2025-09-24T16:49:39.740966,sa_ef2d5ebb,,False,MOD006571,completed,952572162,2024-09-25T00:00:00,131,2025-09-24T16:49:39.740966
69.4,ASG770482,CRS430230,2025-09-24T16:49:39.740966,sa_2ff8adcb,,False,MOD006571,completed,952572162,2024-09-25T00:00:00,117,2025-09-24T16:49:39.740966
89.5,ASG938132,CRS430230,2025-09-24T16:49:39.740966,sa_bfb71ce4,,False,MOD345410,completed,952572162,2024-10-05T00:00:00,414,2025-09-24T16:49:39.740966
88.0,ASG611689,CRS430230,2025-09-24T16:49:39.740966,sa_ca520e35,,False,MOD986258,completed,952572162,2024-10-13T00:00:00,660,2025-09-24T16:49:39.740966
75.0,ASG447003,CRS430230,2025-09-24T16:49:39.740966,sa_41d42b0b,,False,MOD986258,completed,952572162,2024-10-13T00:00:00,115,2025-09-24T16:49:39.740966
70.9,ASG382587,CRS430230,2025-09-24T16:49:39.740966,sa_0a0af285,,False,MOD909075,completed,952572162,2024-10-25T00:00:00,157,2025-09-24T16:49:39.740966
87.0,ASG399228,CRS430230,2025-09-24T16:49:39.740966,sa_d7da14ea,,False,MOD909075,completed,952572162,2024-10-29T00:00:00,115,2025-09-24T16:49:39.740966
84.1,ASG727651,CRS831057,2025-09-24T16:49:39.740966,sa_452ccbbf,,False,MOD559644,completed,952572162,2024-09-07T00:00:00,73,2025-09-24T16:49:39.740966
78.2,ASG176760,CRS831057,2025-09-24T16:49:39.741964,sa_576089ac,,False,MOD913915,completed,952572162,2024-09-13T00:00:00,42,2025-09-24T16:49:39.741964
90.9,ASG609707,CRS831057,2025-09-24T16:49:39.741964,sa_519fa395,,False,MOD913915,completed,952572162,2024-09-15T00:00:00,47,2025-09-24T16:49:39.741964
73.9,ASG251765,CRS831057,2025-09-24T16:49:39.741964,sa_43bb153b,,False,MOD415464,completed,952572162,2024-09-22T00:00:00,86,2025-09-24T16:49:39.741964
73.0,ASG220478,CRS831057,2025-09-24T16:49:39.741964,sa_d81a507c,,False,MOD772650,completed,952572162,2024-09-29T00:00:00,347,2025-09-24T16:49:39.741964
91.6,ASG746675,CRS831057,2025-09-24T16:49:39.741964,sa_17db90bb,,False,MOD772650,completed,952572162,2024-09-30T00:00:00,52,2025-09-24T16:49:39.741964
69.6,ASG924252,CRS831057,2025-09-24T16:49:39.741964,sa_d657f2ec,,False,MOD627975,completed,952572162,2024-10-10T00:00:00,58,2025-09-24T16:49:39.741964
70.4,ASG984246,CRS831057,2025-09-24T16:49:39.742111,sa_7cccd489,,False,MOD627975,completed,952572162,2024-10-09T00:00:00,147,2025-09-24T16:49:39.742111
88.6,ASG299100,CRS831057,2025-09-24T16:49:39.742111,sa_a3a8954f,,False,MOD824980,completed,952572162,2024-10-18T00:00:00,129,2025-09-24T16:49:39.742111
82.0,ASG221221,CRS831057,2025-09-24T16:49:39.742111,sa_ee56ffe8,,False,MOD824980,completed,952572162,2024-10-19T00:00:00,47,2025-09-24T16:49:39.742111
91.4,ASG482072,CRS831057,2025-09-24T16:49:39.742111,sa_30c1d648,,False,MOD214559,completed,952572162,2024-10-25T00:00:00,164,2025-09-24T16:49:39.742111
82.9,ASG004712,CRS831057,2025-09-24T16:49:39.742111,sa_899b6c87,,False,MOD214559,completed,952572162,2024-10-25T00:00:00,185,2025-09-24T16:49:39.742111
77.2,ASG871008,CRS831057,2025-09-24T16:49:39.742111,sa_85af97b4,,False,MOD616746,completed,952572162,2024-11-02T00:00:00,115,2025-09-24T16:49:39.742111
100,ASG273906,CRS583398,2025-09-24T16:49:39.742111,sa_af197a8d,,True,MOD892680,completed,952572162,2024-09-14T00:00:00,47,2025-09-24T16:49:39.742111
100,ASG843006,CRS583398,2025-09-24T16:49:39.742111,sa_c265d5ed,,False,MOD892680,completed,952572162,2024-09-15T00:00:00,94,2025-09-24T16:49:39.742111
99.8,ASG864612,CRS583398,2025-09-24T16:49:39.742111,sa_ecabd21a,,False,MOD646818,completed,952572162,2024-09-22T00:00:00,478,2025-09-24T16:49:39.742111
100,ASG484417,CRS583398,2025-09-24T16:49:39.742111,sa_5b13c1ea,,False,MOD780422,completed,952572162,2024-09-29T00:00:00,69,2025-09-24T16:49:39.742111
100,ASG338808,CRS583398,2025-09-24T16:49:39.742111,sa_10352312,,True,MOD780422,completed,952572162,2024-10-01T00:00:00,193,2025-09-24T16:49:39.742111
100,ASG798030,CRS583398,2025-09-24T16:49:39.742111,sa_a772fbad,,False,MOD217930,completed,952572162,2024-10-08T00:00:00,209,2025-09-24T16:49:39.742111
100,ASG590848,CRS583398,2025-09-24T16:49:39.742111,sa_5199cd9a,,False,MOD217930,completed,952572162,2024-10-12T00:00:00,208,2025-09-24T16:49:39.742111
100,ASG622917,CRS583398,2025-09-24T16:49:39.742111,sa_f6296d0f,,False,MOD399152,completed,952572162,2024-10-12T00:00:00,139,2025-09-24T16:49:39.742111
100,ASG168689,CRS583398,2025-09-24T16:49:39.742111,sa_4797fc04,,False,MOD647562,completed,952572162,2024-10-23T00:00:00,149,2025-09-24T16:49:39.742111
100,ASG716661,CRS583398,2025-09-24T16:49:39.742111,sa_2a042ca3,,False,MOD647562,completed,952572162,2024-10-22T00:00:00,82,2025-09-24T16:49:39.742111
100,ASG800475,CRS583398,2025-09-24T16:49:39.742111,sa_dd4d6893,,False,MOD624828,completed,952572162,2024-11-01T00:00:00,155,2025-09-24T16:49:39.742111
100,ASG467978,CRS583398,2025-09-24T16:49:39.742111,sa_8bfc15d8,,False,MOD624828,completed,952572162,2024-11-02T00:00:00,103,2025-09-24T16:49:39.742111
78.6,ASG112449,CRS261592,2025-09-24T16:49:39.742111,sa_defc03ab,,False,MOD360213,completed,952572162,2024-09-13T00:00:00,490,2025-09-24T16:49:39.742111
87.6,ASG057014,CRS261592,2025-09-24T16:49:39.742111,sa_0799f58a,,False,MOD985400,completed,952572162,2024-09-25T00:00:00,131,2025-09-24T16:49:39.742111
81.9,ASG852721,CRS261592,2025-09-24T16:49:39.742111,sa_8330144b,,False,MOD985400,completed,952572162,2024-09-21T00:00:00,38,2025-09-24T16:49:39.742111
78.9,ASG148982,CRS261592,2025-09-24T16:49:39.742111,sa_75ffa5ef,,False,MOD588503,completed,952572162,2024-09-28T00:00:00,122,2025-09-24T16:49:39.742111
